Simulation Results for Regression Slope Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,b,,,,,,,,,b,,,,,,,,,b,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Theils,2,0,0,0,0.151,1.999,2.001,1,OLSE,2.003,0,0.003,0,1,2.002,2.005,1,Theils,2.001,0,0.001,0,0,2,2.002,1,Theils,2.023,0,0.023,0.001,0,2.021,2.025,1
LTS,2,0,0,0,0.542,1.999,2.001,1,LTS,2.005,0,0.005,0,0.818,2.004,2.006,1,LTS,4.90E+07,3.90E+07,4.90E+07,2.30E+20,0,-3.00E+09,3.10E+09,1,LTS,1.10E+12,8.70E+11,1.10E+12,1.10E+29,0,-6.60E+13,6.80E+13,1
OLSE,2,0,0,0,1,1.999,2.001,1,Theils,2.004,0,0.004,0,0.486,2.004,2.005,1,OLSE,3.50E+14,3.20E+14,3.50E+14,1.50E+34,1,-2.40E+16,2.50E+16,1,OLSE,7.70E+18,7.00E+18,7.70E+18,7.40E+42,1,-5.30E+20,5.50E+20,1
Bayesian,2,0,0,0,1,1.998,2.001,1,Bayesian,2.003,0,0.003,0,0.997,2.002,2.005,1,Bayesian,3.50E+14,3.20E+14,3.50E+14,1.50E+34,1,-2.40E+16,2.50E+16,1,Bayesian,7.70E+18,7.00E+18,7.70E+18,7.40E+42,1,-5.30E+20,5.50E+20,1
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,2,0,0,0,0,1.996,2.004,1,OLSE,1.94,0.026,-0.06,105.11,1,-0.094,3.974,1,LTS,2,0,0,0,0,1.996,2.004,1,LTS,2,0,0,0,0,1.996,2.004,1
Theils,2,0,0,0,0,1.999,2.001,1,LTS,2,0,0,0,0,1.996,2.004,1,Theils,2,0,0,0,0,1.999,2.001,1,Theils,2,0,0,0,0,1.999,2.001,1
Bayesian,1.94,0.026,-0.06,105.108,1,-0.094,3.974,1,Theils,2,0,0,0,0,1.999,2.001,1,Bayesian,1.94,0.026,-0.06,105.108,1,-0.094,3.974,1,Bayesian,1.94,0.026,-0.06,105.108,1,-0.094,3.974,1
OLSE,1.94,0.026,-0.06,105.11,1,-0.094,3.974,1,Bayesian,1.94,0.026,-0.06,105.108,1,-0.094,3.974,1,OLSE,1.94,0.026,-0.06,105.11,1,-0.094,3.974,1,OLSE,1.94,0.026,-0.06,105.11,1,-0.094,3.974,1
n = 500,STANDARD MODEL,,,,,,,,n = 500,CONTAMINATIONS MODEL,,,,,,,,n = 500,OUTLIERS MODEL,,,,,,,,n = 500,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,2,0,0,0,0,2,2,1,Theils,2.003,0,0.003,0,0.694,2.003,2.003,1,Theils,2,0,0,0,0.123,2,2,1,Theils,2.004,0,0.004,0,0.055,2.004,2.005,1
LTS,2,0,0,0,0,2,2,1,LTS,2.003,0,0.003,0,0.745,2.003,2.003,1,LTS,2,0,0,0,0.176,2,2,1,LTS,2.008,0,0.008,0,0.191,2.008,2.008,1
Theils,2,0,0,0,0,2,2,1,OLSE,2.004,0,0.004,0,1,2.004,2.004,1,OLSE,2,0,0,0,1,2,2,1,OLSE,2.019,0,0.019,0,1,2.019,2.019,1
Bayesian,2,0,0,0,0,2,2,1,Bayesian,2.004,0,0.004,0,1,2.004,2.004,1,Bayesian,2,0,0,0,1,2,2,1,Bayesian,2.019,0,0.019,0,1,2.019,2.019,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Theils,2,0,0,0,0.139,2,2,1,OLSE,2.001,0,0.001,0,1,2.001,2.001,1,Theils,2,0,0,0,0,2,2,1,Theils,2.004,0.00E+00,0.004,0,0,2.004,2.004,1
LTS,2,0,0,0,0.753,2,2,1,Bayesian,2.001,0,0.001,0,1,2.001,2.001,1,LTS,1.20E+07,3.30E+06,1.20E+07,1.60E+18,0.00E+00,-1.00E+08,1.20E+08,1,LTS,2.60E+11,7.30E+10,2.60E+11,7.90E+26,0,-2.20E+12,2.70E+12,1
