Simulation Results for Regression Intercept Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,a,,,,,,,,,a,,,,,,,,,a,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Bayesian,7.289,1.796,2.289,4.80E+05,1,-130.734,145.312,0.726,Bayesian,7.289,1.796,2.289,4.80E+05,0.994,-130.734,145.312,0.726,Bayesian,7.289,1.796,2.289,4.80E+05,1,-130.734,145.312,0.726,Bayesian,7.289,1.796,2.289,4.80E+05,1,-130.734,145.312,0.726
OLSE,8.341,1.801,3.341,4.90E+05,1,-130.095,146.777,0.644,OLSE,8.341,1.801,3.341,4.90E+05,1,-130.095,146.777,0.644,OLSE,8.341,1.801,3.341,4.90E+05,1,-130.095,146.777,0.644,OLSE,8.341,1.801,3.341,4.90E+05,1,-130.095,146.777,0.644
n = 500,STANDARD MODEL,,,,,,,,n = 500,CONTAMINATIONS MODEL,,,,,,,,n = 500,OUTLIERS MODEL,,,,,,,,n = 500,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5,0,0,0.008,1,4.993,5.008,1,LTS,4.52,0,-0.48,0.24,0.742,4.512,4.529,1,LTS,5,0,0,0.022,0.2,4.988,5.013,1,LTS,3.845,0.001,-1.155,1.384,0.2,3.825,3.864,1
LTS,5,0,0,0.011,1.4,4.991,5.01,1,OLSE,4.439,0,-0.561,0.324,1,4.43,4.447,1,OLSE,5.001,0.001,0.001,0.091,1,4.974,5.027,1,Theils,3.883,0.002,-1.117,1.724,0.2,3.822,3.943,1
Theils,5,0.002,0,0.455,56.7,4.94,5.059,1,Theils,4.199,0.002,-0.801,1.096,3.384,4.14,4.258,1,Theils,5,0.002,0,0.474,5.2,4.94,5.061,1,OLSE,2.191,0.001,-2.809,7.98,1,2.165,2.218,1
Bayesian,3.99,0,-1.01,1.027,128.1,3.983,3.998,1,Bayesian,3.428,0,-1.572,2.48,7.657,3.42,3.436,1,Bayesian,3.991,0.001,-1.009,1.109,12.2,3.964,4.017,1,Bayesian,1.177,0.001,-3.823,14.704,1.8,1.151,1.204,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.637,0.001,0.637,0.443,0.2,5.62,5.654,0.963,Bayesian,5.538,0,0.538,0.325,0.133,5.521,5.554,0.987,Theils,6.639,0.003,1.639,3.721,0,6.549,6.728,1,Theils,5.558,0.003,0.558,1.371,0,5.468,5.649,1
LTS,6.123,0,1.123,1.286,0.5,6.109,6.137,0.545,LTS,5.968,0,0.968,0.953,0.39,5.957,5.979,0.883,LTS,-1.70E+09,4.80E+08,-1.70E+09,3.40E+22,0,-1.80E+10,1.40E+10,0.992,LTS,-3.70E+13,1.10E+13,-3.70E+13,1.60E+31,0,-3.90E+14,3.20E+14,0.992
OLSE,6.65,0.001,1.65,2.76,1,6.633,6.667,0,OLSE,6.551,0,1.551,2.442,1,6.535,6.568,0,OLSE,-1.30E+15,4.30E+14,-1.30E+15,2.80E+34,1,-1.60E+16,1.30E+16,0,OLSE,-2.90E+19,9.40E+18,-2.90E+19,1.30E+43,1,-3.50E+20,2.90E+20,0
Theils,6.649,0.003,1.649,3.751,1.4,6.56,6.739,1,Theils,6.433,0.003,1.433,3.083,1.263,6.344,6.522,1,Bayesian,-1.30E+15,4.30E+14,-1.30E+15,2.80E+34,1,-1.60E+16,1.30E+16,0,Bayesian,-2.90E+19,9.50E+18,-2.90E+19,1.30E+43,1,-3.50E+20,2.90E+20,0
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,5.002,0.002,0.002,0.869,0,4.92,5.084,0.949,LTS,5.002,0.002,0.002,0.869,0,4.92,5.084,0.949,LTS,5.002,0.002,0.002,0.869,0,4.92,5.084,0.949,LTS,5.002,0.002,0.002,0.869,0,4.92,5.084,0.949
